Train time: 12+ hours

hidden_encode = [4, 8, 16, 32, 64, 64]
        pools_encode = [2, 2, 2, 2, 2, 2]
        pools_decode = [1,1,1,1,1,1]
        hidden_dense = [64, 64]
        n_latent = 64

Creating autoencoder network...
 - C:\Users\Nick\Desktop\Ava\Programs\GameAI\Emulator\data\pacman\network\AUTO_pacman_512_512_3_6_2_64
 - input shape: (?, 512, 512, 3)
 - encode: (?, 256, 256, 4)
 - encode: (?, 128, 128, 8)
 - encode: (?, 64, 64, 16)
 - encode: (?, 32, 32, 32)
 - encode: (?, 16, 16, 64)
 - encode: (?, 8, 8, 64)
 - flat: (?, 4096)
 - latent: (?, 64)
 - dense: (?, 64)
 - dense: (?, 64)
 - dense: (?, 64)
 - reshaped: (?, 8, 8, 1)
 - decode: (?, 8, 8, 64)
 - decode: (?, 8, 8, 64)
 - decode: (?, 8, 8, 32)
 - decode: (?, 8, 8, 16)
 - decode: (?, 8, 8, 8)
 - decode: (?, 8, 8, 4)
 - dense: (?, 786432)
 - output: (?, 786432)
Created AUTO_pacman_512_512_3_6_2_64 network in 15.829691886901855

Training on data with iters
Iter 25700  Loss 2461.62207  IO 2407.54785  KL 53.79971
Iter 25800  Loss 2250.70581  IO 2196.86987  KL 53.00514
Iter 25900  Loss 2246.74170  IO 2194.75000  KL 52.90895
Iter 26000  Loss 2037.44080  IO 1991.17188  KL 52.14169
Iter 26100  Loss 2441.31226  IO 2386.26221  KL 52.89120
Iter 26200  Loss 2390.42798  IO 2336.69580  KL 54.28777
Iter 26300  Loss 2345.99146  IO 2280.67285  KL 55.54882
Iter 26400  Loss 3039.21973  IO 2977.52783  KL 77.49332
Iter 26500  Loss 2463.35840  IO 2406.94775  KL 56.77037
Iter 26600  Loss 2415.31104  IO 2359.66626  KL 53.53569
Iter 26700  Loss 2300.65356  IO 2247.75195  KL 53.34616
Iter 26800  Loss 2141.02295  IO 2090.00732  KL 52.88516
Iter 26900  Loss 2432.25244  IO 2379.98340  KL 52.94296
Iter 27000  Loss 2400.26270  IO 2347.33838  KL 53.51596
Iter 27100  Loss 2239.79688  IO 2185.07202  KL 53.20754
Iter 27200  Loss 2196.68457  IO 2145.37354  KL 53.11115
Iter 27300  Loss 2224.67993  IO 2169.14795  KL 53.30156
Iter 27400  Loss 2359.82471  IO 2301.51465  KL 55.86541
Iter 27500  Loss 2260.28760  IO 2199.22168  KL 55.66668
Iter 27600  Loss 2319.41064  IO 2253.25049  KL 64.16936
Iter 27700  Loss 2157.95752  IO 2104.73804  KL 52.94854
